1     0.93214     0.55343    1.68430      0.73400  29.58s
2     0.62378     0.51131    1.21997      0.75500  29.64s
3     0.57849     0.47763    1.21116      0.77800  29.71s
4     0.56706     0.46824    1.21103      0.78400  29.64s
5     0.54440     0.46921    1.16024      0.77900  29.56s
6     0.53219     0.46971    1.13302      0.78500  29.72s
7     0.52207     0.44312    1.17819      0.79700  29.51s
8     0.51308     0.47594    1.07803      0.77100  29.58s
9     0.49543     0.45048    1.09977      0.78600  29.47s
10     0.49214     0.46908    1.04916      0.77200  29.56s
11     0.48550     0.43453    1.11730      0.79800  29.46s
12     0.48088     0.44812    1.07312      0.78400  29.71s
13     0.46968     0.43291    1.08492      0.80300  29.56s
14     0.46316     0.44269    1.04624      0.79000  29.63s
15     0.46024     0.43063    1.06876      0.80000  29.57s
16     0.45308     0.43909    1.03186      0.78800  29.62s
17     0.45032     0.44484    1.01232      0.78000  29.59s
18     0.44004     0.44158    0.99651      0.79200  29.69s
19     0.44421     0.42810    1.03762      0.79400  29.58s
20     0.42526     0.42898    0.99133      0.80300  29.68s
21     0.43134     0.41288    1.04471      0.81700  29.53s
22     0.42224     0.41824    1.00958      0.81600  29.52s
23     0.42568     0.41403    1.02815      0.80300  29.51s
24     0.41555     0.42158    0.98569      0.80900  29.51s
25     0.41062     0.41257    0.99526      0.82600  29.53s
26     0.40797     0.42416    0.96183      0.80800  29.61s
27     0.39769     0.40941    0.97136      0.82700  29.47s
28     0.39309     0.39887    0.98551      0.83800  29.52s
29     0.39751     0.40974    0.97016      0.82300  29.48s
30     0.38642     0.40000    0.96606      0.83600  29.50s
31     0.38711     0.40679    0.95161      0.82000  29.49s
32     0.37895     0.40076    0.94559      0.83400  29.53s
33     0.38061     0.38748    0.98226      0.83900  29.49s
34     0.37366     0.39015    0.95773      0.83300  29.52s
35     0.37252     0.39159    0.95132      0.83600  29.49s
36     0.36791     0.39512    0.93111      0.83700  29.53s
37     0.36299     0.38375    0.94590      0.84300  29.56s
38     0.36128     0.38142    0.94719      0.84100  29.63s
39     0.35591     0.40898    0.87025      0.82300  29.55s
40     0.35369     0.38968    0.90765      0.83100  29.56s
41     0.34653     0.39116    0.88590      0.84500  29.62s
42     0.34394     0.37997    0.90516      0.84900  29.67s
43     0.34090     0.36452    0.93520      0.85900  29.60s
44     0.33176     0.40712    0.81489      0.82800  29.65s
45     0.33073     0.36475    0.90674      0.85000  29.60s
46     0.33533     0.35923    0.93347      0.85600  29.65s
47     0.31858     0.38519    0.82709      0.84100  29.67s
48     0.33018     0.37624    0.87757      0.85900  29.62s
49     0.31838     0.36147    0.88078      0.85300  29.59s
50     0.31727     0.36500    0.86924      0.85100  29.57s
51     0.30804     0.35982    0.85609      0.86200  29.59s
52     0.30937     0.36962    0.83699      0.85500  29.64s
53     0.30728     0.35699    0.86077      0.85800  29.69s
54     0.29473     0.35535    0.82942      0.85600  29.64s
55     0.29628     0.36169    0.81916      0.85800  29.73s
56     0.29334     0.35164    0.83419      0.85600  29.65s
57     0.28900     0.36957    0.78198      0.86000  29.73s
58     0.28806     0.35442    0.81277      0.85800  29.65s
59     0.28771     0.36488    0.78850      0.85200  29.69s
60     0.28017     0.38440    0.72886      0.83800  29.65s
61     0.27475     0.37927    0.72442      0.83700  29.65s
62     0.26673     0.37964    0.70259      0.84600  29.61s
63     0.27117     0.37561    0.72195      0.84500  29.67s
64     0.26231     0.36315    0.72233      0.85300  29.65s
65     0.25860     0.35784    0.72267      0.85500  29.65s
66     0.25511     0.39342    0.64845      0.84600  29.62s
67     0.25433     0.36502    0.69674      0.85900  29.65s
68     0.25192     0.37529    0.67127      0.85200  29.60s
69     0.25081     0.36725    0.68294      0.85500  29.60s
70     0.24044     0.37125    0.64763      0.85400  29.61s
71     0.23851     0.38473    0.61993      0.84900  29.67s
72     0.24363     0.39967    0.60958      0.85000  29.64s
73     0.23741     0.38259    0.62053      0.84300  29.62s
74     0.22645     0.37742    0.60000      0.85100  29.58s
75     0.21902     0.37531    0.58357      0.85300  29.65s
76     0.22915     0.37233    0.61547      0.84000  29.62s
77     0.21674     0.38682    0.56030      0.85000  29.66s
78     0.21801     0.36562    0.59627      0.85100  29.62s
79     0.21183     0.40119    0.52801      0.84800  29.66s
80     0.21488     0.39398    0.54541      0.84700  29.62s
81     0.20804     0.38421    0.54147      0.84700  29.67s
82     0.20639     0.44089    0.46813      0.83500  29.68s
83     0.20838     0.43361    0.48056      0.83600  29.59s
84     0.20329     0.38445    0.52877      0.85200  29.55s
85     0.19485     0.39277    0.49610      0.85500  29.59s
86     0.18648     0.38416    0.48542      0.84900  29.55s
87     0.20236     0.39854    0.50775      0.84600  29.59s
88     0.19481     0.38540    0.50547      0.85500  29.54s
89     0.18740     0.39877    0.46996      0.85200  29.61s
90     0.19082     0.40030    0.47670      0.84700  29.54s
91     0.18950     0.37333    0.50761      0.84900  29.69s
92     0.18550     0.41539    0.44657      0.84800  29.57s
93     0.17756     0.37325    0.47571      0.83600  29.61s
94     0.17749     0.38164    0.46508      0.85000  29.55s
95     0.17327     0.38954    0.44480      0.84600  29.58s
96     0.17722     0.38705    0.45787      0.85800  29.57s
97     0.16096     0.38243    0.42089      0.84900  29.63s
98     0.17681     0.38206    0.46278      0.86000  29.60s
99     0.16287     0.37791    0.43096      0.85800  29.62s
100     0.16725     0.38960    0.42929      0.84400  29.61s
101     0.16054     0.36949    0.43450      0.85200  29.64s
102     0.16184     0.37375    0.43302      0.85500  29.60s
103     0.16417     0.40629    0.40407      0.84900  29.63s
104     0.15990     0.41141    0.38866      0.84800  29.59s
105     0.15602     0.38998    0.40007      0.85200  29.62s
106     0.14732     0.39766    0.37047      0.85800  29.60s
107     0.15459     0.37972    0.40712      0.84800  29.64s
108     0.14074     0.42279    0.33287      0.85400  29.57s
109     0.13954     0.39441    0.35378      0.84700  29.59s
110     0.13792     0.40077    0.34413      0.85400  29.59s
111     0.13528     0.39126    0.34575      0.84700  29.59s
112     0.14242     0.41222    0.34549      0.84600  29.59s
113     0.12558     0.42048    0.29866      0.85000  29.65s
114     0.12412     0.42273    0.29361      0.84100  29.66s
115     0.11889     0.45664    0.26036      0.83900  29.64s
116     0.12497     0.47095    0.26536      0.83400  29.58s
117     0.11585     0.46015    0.25176      0.83200  29.63s
118     0.10561     0.48651    0.21707      0.83200  29.60s
119     0.11011     0.51657    0.21317      0.82600  29.65s
120     0.10743     0.51106    0.21022      0.83800  29.61s
121     0.10710     0.49695    0.21551      0.83100  29.62s
122     0.09746     0.53265    0.18296      0.82300  29.59s
123     0.09365     0.53140    0.17623      0.83300  29.65s
124     0.09702     0.57210    0.16958      0.82100  29.56s
125     0.09052     0.48330    0.18730      0.83700  29.60s
126     0.09018     0.56498    0.15962      0.81800  29.56s
