1     2.22955     0.95120    2.34394      0.60616  17.08s
2     1.00027     0.86575    1.15539      0.64041  17.02s
3     0.91927     0.78770    1.16704      0.62158  17.04s
4     0.88447     0.74843    1.18176      0.64041  17.00s
5     0.83494     0.72075    1.15844      0.64897  17.00s
6     0.81818     0.71094    1.15084      0.66438  16.99s
7     0.79762     0.69406    1.14922      0.65753  17.04s
8     0.78095     0.67902    1.15010      0.67808  17.00s
9     0.75774     0.65939    1.14916      0.70719  17.03s
10     0.74729     0.66765    1.11928      0.68664  17.04s
11     0.74334     0.64377    1.15467      0.70034  17.04s
12     0.71869     0.63989    1.12314      0.69863  17.02s
13     0.71919     0.62591    1.14903      0.71404  17.03s
14     0.70140     0.62403    1.12399      0.70548  17.05s
15     0.70543     0.62318    1.13198      0.72089  17.05s
16     0.68580     0.60594    1.13179      0.72603  17.04s
17     0.66515     0.60285    1.10334      0.74315  17.11s
18     0.65117     0.60811    1.07080      0.72432  17.06s
19     0.65817     0.58965    1.11620      0.73973  17.05s
20     0.65052     0.58741    1.10742      0.76027  17.06s
21     0.62637     0.57994    1.08005      0.75342  17.11s
22     0.62876     0.58049    1.08315      0.75000  17.08s
23     0.61655     0.57050    1.08073      0.76027  17.08s
24     0.62124     0.56167    1.10606      0.77397  17.09s
25     0.61741     0.56578    1.09125      0.77397  17.13s
26     0.60555     0.55229    1.09642      0.78082  17.07s
27     0.58426     0.54146    1.07906      0.78596  17.08s
28     0.58079     0.55846    1.03998      0.75856  17.12s
29     0.57169     0.54596    1.04713      0.78253  17.09s
30     0.56915     0.55026    1.03434      0.77568  17.08s
31     0.56417     0.54798    1.02955      0.77226  17.07s
32     0.56468     0.53810    1.04941      0.79452  17.09s
33     0.55104     0.53651    1.02708      0.79623  17.05s
34     0.55272     0.54343    1.01708      0.79281  17.04s
35     0.53208     0.53684    0.99112      0.77740  17.09s
36     0.54180     0.54203    0.99957      0.77397  17.07s
37     0.53869     0.55061    0.97835      0.77226  17.05s
38     0.53516     0.53075    1.00831      0.79452  17.07s
39     0.52040     0.52760    0.98635      0.78425  17.13s
40     0.52212     0.52274    0.99882      0.79623  17.10s
41     0.50763     0.52242    0.97169      0.78425  17.06s
42     0.49841     0.51761    0.96291      0.78938  17.10s
43     0.49777     0.52082    0.95574      0.79623  17.03s
44     0.50319     0.51644    0.97434      0.78938  17.04s
45     0.49617     0.52723    0.94108      0.78596  17.04s
46     0.47725     0.51348    0.92944      0.79452  17.10s
47     0.48125     0.52946    0.90894      0.78082  17.05s
48     0.47116     0.53986    0.87274      0.77911  17.07s
49     0.47043     0.52667    0.89322      0.77568  17.10s
50     0.46815     0.55524    0.84315      0.75856  17.07s
51     0.46889     0.51500    0.91046      0.79110  17.06s
52     0.46900     0.53616    0.87475      0.77226  17.02s
53     0.42934     0.52900    0.81160      0.77740  17.15s
54     0.45143     0.54449    0.82909      0.76712  17.10s
55     0.43744     0.52069    0.84010      0.79110  17.09s
56     0.42902     0.51936    0.82605      0.79281  17.12s
57     0.42372     0.51848    0.81724      0.79281  17.07s
58     0.42417     0.51261    0.82748      0.79966  17.07s
59     0.41180     0.53537    0.76920      0.77055  17.07s
60     0.41486     0.53404    0.77684      0.78082  17.11s
61     0.40957     0.53771    0.76170      0.77911  17.07s
62     0.40316     0.53972    0.74697      0.78082  17.08s
63     0.39833     0.52930    0.75255      0.78596  17.10s
64     0.39587     0.52064    0.76035      0.79110  17.07s
65     0.37777     0.53268    0.70918      0.78938  17.09s
66     0.38870     0.55716    0.69766      0.76370  17.07s
67     0.37944     0.54077    0.70167      0.78425  17.09s
68     0.38342     0.53913    0.71117      0.76541  17.09s
69     0.36900     0.52846    0.69826      0.78767  17.09s
70     0.35812     0.53704    0.66685      0.78253  17.12s
71     0.35869     0.53221    0.67395      0.79452  17.06s
72     0.35686     0.53974    0.66118      0.77397  17.06s
73     0.35047     0.52367    0.66926      0.80822  17.10s
74     0.34630     0.53246    0.65038      0.77568  17.13s
75     0.33949     0.53432    0.63536      0.78253  17.07s
76     0.34587     0.54277    0.63723      0.78938  17.05s
77     0.34271     0.52875    0.64814      0.78596  17.09s
78     0.33210     0.55757    0.59563      0.76541  17.06s
79     0.32310     0.53354    0.60559      0.79281  17.05s
80     0.32226     0.55536    0.58027      0.78767  17.06s
81     0.32786     0.53717    0.61034      0.79110  17.09s
82     0.31886     0.53478    0.59625      0.78938  17.08s
83     0.31337     0.55589    0.56374      0.77568  17.07s
84     0.29672     0.57197    0.51877      0.77397  17.13s
85     0.29259     0.57160    0.51188      0.76884  17.09s
86     0.29490     0.54043    0.54567      0.78425  17.10s
87     0.29593     0.55471    0.53349      0.78082  17.12s
88     0.28829     0.60898    0.47341      0.75171  17.14s
89     0.28449     0.55210    0.51528      0.79281  17.12s
90     0.28059     0.54504    0.51481      0.78425  17.11s
91     0.28348     0.55673    0.50918      0.76884  17.12s
92     0.27112     0.57833    0.46880      0.77226  17.11s
93     0.26620     0.54179    0.49133      0.78767  17.09s
94     0.27120     0.57967    0.46784      0.78082  17.11s
95     0.25095     0.56421    0.44478      0.77397  17.12s
96     0.25663     0.54540    0.47053      0.79623  17.08s
97     0.25720     0.55720    0.46159      0.78767  17.08s
98     0.24701     0.58456    0.42256      0.76541  17.14s
99     0.24417     0.56979    0.42853      0.77911  17.07s
100     0.23840     0.59692    0.39938      0.77740  17.08s
101     0.23877     0.58070    0.41117      0.78596  17.02s
102     0.24210     0.60610    0.39945      0.77740  17.08s
103     0.24479     0.61361    0.39894      0.77397  17.05s
